country,fund_name,fund_manager,financial_product,target_area,support_type,sector_focus,commitment_eur,currency,address,website
France,FPCI Sista Fund,SUNSHINE SAS,,,Venture Capital,ICT,21060000.0,EUR,1-3 RUE D'ENGHIEN,
France,HCVC Fund II,Elephants & Ventures,,Artificial Intelligence (AI);Industrial Technologies;Semiconductor technologies,Venture Capital,,8564485.0,EUR,59 rue Beaubourg,http://elephantsandventures.com/
France,HCVC Fund II,Elephants & Ventures,EIF Enabling sectors,Artificial Intelligence (AI);Industrial Technologies;Semiconductor technologies,Venture Capital,,8564485.0,EUR,59 rue Beaubourg,http://elephantsandventures.com/
France,IMPACT Growth SLP,IMPACT Partners SAS,,Growth and expansion;Social impact Investing &amp; Social Innovation,Private Equity,,20000000.0,EUR,22 rue de la Pépinière,http://www.impact-partenaires.fr/
France,Indigo Capital III,Indigo Capital SAS,EIF CMU,Debt and hybrid debt-equity funds,,,40000000.0,EUR,12 Rue Marbeuf,http://www.indigo-capital.fr/indigo/
France,ISAI Expansion III,ISAI Gestion,EIF CMU,Growth and expansion;Other Digital,Private Equity,,21000000.0,EUR,8 avenue Kléber,https://www.isai.vc
France,ISAI Expansion III,ISAI Gestion,,Growth and expansion;Other Digital,Private Equity,ICT,9000000.0,EUR,8 avenue Kléber,https://www.isai.vc
France,MBO Flex SLP,MBO+,EIF CMU,Debt and hybrid debt-equity funds,,,21250000.0,EUR,7 rue Copernic,https://mbo.plus/
France,Mirova Energy Transition SLP,Mirova S.A.,ra nds,Clean Energy Transition-Climate;Environment and resources;Sustainable Transport,Infrastructure,,70000000.0,EUR,,https://www.mirova.com/en
France,Mirova Energy Transition SLP,Mirova S.A.,ra nds,Clean Energy Transition-Climate;Sustainable Transport,Infrastructure,Infrastructure,100000000.0,EUR,,https://www.mirova.com/en
France,Momentum Invest II,Momentum Invest,EIF CMU,Growth and expansion,Private Equity,Generalist,30000000.0,EUR,21 rue Weber,http://www.momentuminvest.fr/
France,OCCTE OCCIGEN,OCCTE,ra nds,Clean Energy Transition-Climate;Environment and resources;Sustainable Transport,Infrastructure,Infrastructure,52000000.0,EUR,,http://www.occte.fr/
France,October SME,October Factory SAS,EIF CMU,Debt and hybrid debt-equity funds,,Generalist,20000000.0,EUR,94 Rue De La Victoire,https://october.eu/
France,Partech Impact Fund FPCI,Partech Partners,,Skills &amp; Education;Social impact Investing &amp; Social Innovation,Social Impact,Generalist,25000000.0,EUR,33 rue du Mail,https://partechpartners.com/
France,"rl Infrastructure Capital II SCA,",Pearl Advisory SAS,ra nds,Clean Energy Transition-Climate;Environment and resources,Infrastructure,Infrastructure,100000000.0,EUR,38 RUE DE BASSANO,https://www.pearlinfracap.eu/#
France,Phitrust Partenaires Inclusion SAS,Phitrust SAPO,,Skills &amp; Education;Social Entrepreneurship;Social impact Investing &amp; Social Innovation;Social Infrastructure,Social Impact,Generalist,20000000.0,EUR,"7, rue d’Anjou",https://www.phitrust.com/
France,Revaia Growth II SLP,Revaia SAS,EIF CMU,Growth and expansion,Venture Capital,,40000000.0,EUR,4 rue du Commandant Rivière,www.revaia.com
France,Ring Mission Venture Capital,Ring SAS,,Social impact Investing &amp; Social Innovation,Social Impact,,20000000.0,EUR,2 rue Favart,https://www.ringcp.com/
France,iv uropean Climate Debt,Rivage Investment SAS,EIF CMU,Debt and hybrid debt-equity funds,,,30000000.0,EUR,"5, rue Drouot",www.rivageinvestment.com
France,Rive Infrastructure Impact Fund,iv Private Investment,ra nds,Clean Energy Transition-Climate;Sustainable Transport,Infrastructure,,90000000.0,EUR,,https://www.rive-investment.com/
France,Shift4Good Fund SLP,Shift4Good SAS,EIF C&E Solutions,Industrial decarbonisation &amp; environmental sustainability;Mobility and transport solutions,Venture Capital,,40000000.0,EUR,124 rue Réaumur,https://www.shift4good.com/
France,Sofinnova Biovelocita II SLP,Sofinnova Partners SAS,EIF Enabling sectors,Life science and health,TTA,Life Science,10000000.0,EUR,,www.sofinnovapartners.com/
France,Verto Growth II SLP,Verto SAS,,Other Digital,Private Equity,,15000000.0,EUR,43 avenue Marceau,
France,ropean Sustainable,Zencap Asset Management,ra nds,Clean Energy Transition-Climate;Environment and resources;Sustainable Transport,Infrastructure,,75000000.0,EUR,22 rue Vernier,https://www.zencap-am.fr
Germany,42CAP IV GmbH & Co. KG,42CAP Manager GmbH,,Artificial Intelligence (AI);Space,Venture Capital,ICT,17500000.0,EUR,Seitzstraße 23,https://www.42cap.com/
